track_id,row_id,rank,shop,title,link,sku_name,price,orig,tag,height,height_evidence,bundle,custom,exclude
T1,R009-S005,9,源氏木语官方旗舰店,源氏木语0胶水床垫棕垫天然椰棕硬垫子乳胶弹簧席梦思垫椰椰,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=608354792601,（3）乳胶款 ▪ 护脊实力派 硬度up ▪ 加硬承托/厚22cm,1899.0,1899.0,,22.0,厚22cm,False,False,
T1,R009-S007,9,源氏木语官方旗舰店,源氏木语0胶水床垫棕垫天然椰棕硬垫子乳胶弹簧席梦思垫椰椰,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=608354792601,（4）记忆棉款 ▪ 热销爆款 ▪ 偏硬护脊/厚22cm,1899.0,1899.0,,22.0,厚22cm,False,False,
T1,R009-S008,9,源氏木语官方旗舰店,源氏木语0胶水床垫棕垫天然椰棕硬垫子乳胶弹簧席梦思垫椰椰,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=608354792601,（5）记忆棉款 ▪ 护脊实力派 硬度up ▪ 加硬承托/厚22cm,1899.0,1899.0,,22.0,厚22cm,False,False,
T1,R009-S009,9,源氏木语官方旗舰店,源氏木语0胶水床垫棕垫天然椰棕硬垫子乳胶弹簧席梦思垫椰椰,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=608354792601,（6）乳胶折叠款 ▪ 便携易收纳 ▪ 偏硬护脊/厚22cm,2199.0,2199.0,,22.0,厚22cm,False,False,
T1,R009-S014,9,源氏木语官方旗舰店,源氏木语0胶水床垫棕垫天然椰棕硬垫子乳胶弹簧席梦思垫椰椰,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=608354792601,（11）乳胶偏硬款+床褥,2229.0,2229.0,,,,False,False,
T1,R010-S001,10,亚朵星球官方旗舰店,亚朵星球升级记忆棉加厚床垫软垫榻榻米垫子软硬双面两用弹簧床垫,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=670584464704,普兰特床垫｜亚朵酒店升级家庭款双面可用｜厚22cm,2719.0,4022.0,店铺优惠后,22.0,厚22cm,False,False,
T1,R012-S003,12,芝华仕官方旗舰店,【芝华仕D026】政府补贴弹簧乳胶床垫席梦思酒店厚垫软硬卧室家用,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=596263974964,24CM整垫0胶版|软硬双睡|全0胶水工艺 A类抑菌面料,2455.65,3411.0,平台加补后,,,False,False,
T1,R012-S004,12,芝华仕官方旗舰店,【芝华仕D026】政府补贴弹簧乳胶床垫席梦思酒店厚垫软硬卧室家用,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=596263974964,26CM双面版|软硬双睡|睡感可选 双重防螨,1771.4,2464.0,平台加补后,,,False,False,
T1,R012-S005,12,芝华仕官方旗舰店,【芝华仕D026】政府补贴弹簧乳胶床垫席梦思酒店厚垫软硬卧室家用,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=596263974964,26CM记忆绵版|适中偏软|一张能撑腰的记忆绵床垫,1677.05,2334.0,平台加补后,,,False,False,
T1,R013-S001,13,源氏木语官方旗舰店,源氏木语零胶水护脊床垫家用黄麻垫家居乳胶垫自然派独立弹簧厚垫,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=836501541416,(全垫零胶水)自然派·护脊款(23CM厚/加硬H1)J158,1912.58,2889.0,平台加补后,23.0,23cm厚,False,False,
T1,R013-S002,13,源氏木语官方旗舰店,源氏木语零胶水护脊床垫家用黄麻垫家居乳胶垫自然派独立弹簧厚垫,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=836501541416,(全垫零胶水)自然派·经典款(23CM厚/偏硬H2)J158,2115.22,3195.0,平台加补后,23.0,23cm厚,False,False,
T1,R013-S003,13,源氏木语官方旗舰店,源氏木语零胶水护脊床垫家用黄麻垫家居乳胶垫自然派独立弹簧厚垫,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=836501541416,(全垫零胶水)自然派·透气款(23CM厚/偏硬H2)J158,2346.94,3609.0,平台加补后,23.0,23cm厚,False,False,
T1,R013-S004,13,源氏木语官方旗舰店,源氏木语零胶水护脊床垫家用黄麻垫家居乳胶垫自然派独立弹簧厚垫,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=836501541416,(全垫零胶水)自然派·双面款(23CM厚/正面H3反面H1)J158,2669.42,4095.0,平台加补后,23.0,23cm厚,False,False,
T1,R013-S005,13,源氏木语官方旗舰店,源氏木语零胶水护脊床垫家用黄麻垫家居乳胶垫自然派独立弹簧厚垫,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=836501541416,护脊款+床褥(JR01)J158,2275.36,3501.0,平台加补后,,,False,False,
T1,R013-S006,13,源氏木语官方旗舰店,源氏木语零胶水护脊床垫家用黄麻垫家居乳胶垫自然派独立弹簧厚垫,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=836501541416,经典款+床褥(JR01)J158,2478.86,3807.0,平台加补后,,,False,False,
T1,R013-S007,13,源氏木语官方旗舰店,源氏木语零胶水护脊床垫家用黄麻垫家居乳胶垫自然派独立弹簧厚垫,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=836501541416,透气款+床褥(JR01)J158,2734.96,4194.0,平台加补后,,,False,False,
T1,R014-S007,14,moonlightfamily旗舰店,月光之家乳胶床垫家用独立弹簧软垫儿童黄麻棕硬护腰席梦思1.8米,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=20719504509,轻奢护腰系列：护腰护脊专利设计 本店连续15年畅销NO.I,2899.0,2899.0,,,,False,False,
T1,R014-S013,14,moonlightfamily旗舰店,月光之家乳胶床垫家用独立弹簧软垫儿童黄麻棕硬护腰席梦思1.8米,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=20719504509,尊耀全拆系列：升级全拆+多种软硬可调+贝纹弹簧+8D透气护腰垫,2899.0,2899.0,,,,False,False,
T1,R014-S016,14,moonlightfamily旗舰店,月光之家乳胶床垫家用独立弹簧软垫儿童黄麻棕硬护腰席梦思1.8米,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=20719504509,全拆尊耀A【2种软硬可调 适中/微硬】青年和夫妻首选 22cm,1548.7,2298.0,平台加补后,,,False,False,
T1,R014-S017,14,moonlightfamily旗舰店,月光之家乳胶床垫家用独立弹簧软垫儿童黄麻棕硬护腰席梦思1.8米,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=20719504509,全拆尊耀B【2种软硬可调 偏软/适中】柔软且兼顾护腰 22cm,1648.15,2431.0,平台加补后,,,False,False,
T1,R014-S018,14,moonlightfamily旗舰店,月光之家乳胶床垫家用独立弹簧软垫儿童黄麻棕硬护腰席梦思1.8米,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=20719504509,全拆尊耀C【2种软硬可调 微硬/偏硬】怕热易出汗人群 22cm,1648.15,2431.0,平台加补后,,,False,False,
T1,R014-S019,14,moonlightfamily旗舰店,月光之家乳胶床垫家用独立弹簧软垫儿童黄麻棕硬护腰席梦思1.8米,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=20719504509,全拆尊耀D【2种软硬可调 微硬/偏硬】儿童和中老年人 22cm,1698.3,2498.0,平台加补后,,,False,False,
T1,R014-S020,14,moonlightfamily旗舰店,月光之家乳胶床垫家用独立弹簧软垫儿童黄麻棕硬护腰席梦思1.8米,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=20719504509,全拆尊耀E【4种软硬可调 偏软/微软/适中/微硬】全家适用 24cm,1748.45,2565.0,平台加补后,,,False,False,
T1,R014-S021,14,moonlightfamily旗舰店,月光之家乳胶床垫家用独立弹簧软垫儿童黄麻棕硬护腰席梦思1.8米,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=20719504509,全拆尊耀F【5种软硬可调 偏软/微软/适中/微硬/偏硬】闭眼选 26cm,1848.75,2699.0,平台加补后,,,False,False,
