row_id,rank,shop,title,link,sku_name,price,orig,tag,height,height_evidence,bundle,custom,exclude
R002-S003,2,蓝盒子官方旗舰店,蓝盒子Z1床垫独立袋装弹簧记忆棉软硬适中家用卧室单双人厚席梦思,https://detail.tmall.com/item.htm?id=633899833522&sku_properties=21433%3A50753460,Z1小石头【偏硬支撑/承托力更足】厚22cm,3305.65,4874.0,平台加补后,22.0,厚22cm,False,False,
R002-S004,2,蓝盒子官方旗舰店,蓝盒子Z1床垫独立袋装弹簧记忆棉软硬适中家用卧室单双人厚席梦思,https://detail.tmall.com/item.htm?id=633899833522&sku_properties=21433%3A50753460,Z1小石头【偏硬支撑/承托力更足】厚22cm,3305.65,4874.0,平台加补后,22.0,厚22cm,False,False,同商品SKU名+价格重复（空白归一）
R002-S005,2,蓝盒子官方旗舰店,蓝盒子Z1床垫独立袋装弹簧记忆棉软硬适中家用卧室单双人厚席梦思,https://detail.tmall.com/item.htm?id=633899833522&sku_properties=21433%3A50753460,升级款Z1Pro【五星酒店睡感/两个弹簧系统】,5158.65,7579.0,平台加补后,,,False,False,
R002-S006,2,蓝盒子官方旗舰店,蓝盒子Z1床垫独立袋装弹簧记忆棉软硬适中家用卧室单双人厚席梦思,https://detail.tmall.com/item.htm?id=633899833522&sku_properties=21433%3A50753460,定制特殊尺寸【尺寸请咨询客服，制作周期15-45天】,4374.0,4374.0,,,,False,True,
R003-S001,3,喜临门官方旗舰店,【塔利亚Pro】喜临门官方A类厚席梦思偏硬薄垫乳胶黄麻弹簧床垫子,https://detail.tmall.com/item.htm?id=626426464362&sku_properties=21433%3A50753460,塔利亚Pro【双睡感/23CM】分区承托全面之选,1911.65,2849.0,平台加补后,23.0,/23cm】,False,False,
R003-S002,3,喜临门官方旗舰店,【塔利亚Pro】喜临门官方A类厚席梦思偏硬薄垫乳胶黄麻弹簧床垫子,https://detail.tmall.com/item.htm?id=626426464362&sku_properties=21433%3A50753460,塔利亚Plus【双睡感/22CM】双面可睡老少皆宜,1784.15,2699.0,平台加补后,22.0,/22cm】,False,False,
R003-S003,3,喜临门官方旗舰店,【塔利亚Pro】喜临门官方A类厚席梦思偏硬薄垫乳胶黄麻弹簧床垫子,https://detail.tmall.com/item.htm?id=626426464362&sku_properties=21433%3A50753460,塔利亚Fit【硬睡感/20CM】黄麻舒脊老人推荐,1614.15,2499.0,平台加补后,20.0,/20cm】,False,False,
R003-S004,3,喜临门官方旗舰店,【塔利亚Pro】喜临门官方A类厚席梦思偏硬薄垫乳胶黄麻弹簧床垫子,https://detail.tmall.com/item.htm?id=626426464362&sku_properties=21433%3A50753460,塔利亚Slim【双睡感/12.5CM】A类薄垫儿童推荐,1571.65,2449.0,平台加补后,12.5,/12.5cm】,False,False,
R003-S005,3,喜临门官方旗舰店,【塔利亚Pro】喜临门官方A类厚席梦思偏硬薄垫乳胶黄麻弹簧床垫子,https://detail.tmall.com/item.htm?id=626426464362&sku_properties=21433%3A50753460,塔利亚Air【适中睡感/19CM】适中睡感成人推荐,1614.15,2499.0,平台加补后,19.0,/19cm】,False,False,
R003-S006,3,喜临门官方旗舰店,【塔利亚Pro】喜临门官方A类厚席梦思偏硬薄垫乳胶黄麻弹簧床垫子,https://detail.tmall.com/item.htm?id=626426464362&sku_properties=21433%3A50753460,塔利亚旗舰【双睡感/24CM】,1826.65,2749.0,平台加补后,24.0,/24cm】,False,False,
R004-S001,4,喜临门官方旗舰店,【呼呼AI智能床垫】喜临门线下同款H100H300乳胶气囊电动智能床垫,https://detail.tmall.com/item.htm?id=1024188563619&sku_properties=21433%3A50753460,呼呼H100,9999.0,15999.0,平台加补后,,,False,False,
R004-S002,4,喜临门官方旗舰店,【呼呼AI智能床垫】喜临门线下同款H100H300乳胶气囊电动智能床垫,https://detail.tmall.com/item.htm?id=1024188563619&sku_properties=21433%3A50753460,【床架套餐】智慧T1（床架）+呼呼H100（床垫）,12999.0,24999.0,平台加补后,,,True,False,
R004-S003,4,喜临门官方旗舰店,【呼呼AI智能床垫】喜临门线下同款H100H300乳胶气囊电动智能床垫,https://detail.tmall.com/item.htm?id=1024188563619&sku_properties=21433%3A50753460,呼呼H300,10999.0,18999.0,平台加补后,,,False,False,
R004-S004,4,喜临门官方旗舰店,【呼呼AI智能床垫】喜临门线下同款H100H300乳胶气囊电动智能床垫,https://detail.tmall.com/item.htm?id=1024188563619&sku_properties=21433%3A50753460,【床架套餐】智慧T1（床架）+呼呼H300（床垫）,13999.0,25999.0,平台加补后,,,True,False,
R004-S005,4,喜临门官方旗舰店,【呼呼AI智能床垫】喜临门线下同款H100H300乳胶气囊电动智能床垫,https://detail.tmall.com/item.htm?id=1024188563619&sku_properties=21433%3A50753460,【特殊尺寸床架套餐】呼呼H100+智慧T1,12999.0,24999.0,平台加补后,,,True,True,
R004-S006,4,喜临门官方旗舰店,【呼呼AI智能床垫】喜临门线下同款H100H300乳胶气囊电动智能床垫,https://detail.tmall.com/item.htm?id=1024188563619&sku_properties=21433%3A50753460,【特殊尺寸床架套餐】呼呼H300+智慧T1,13999.0,25999.0,平台加补后,,,True,True,
R004-S007,4,喜临门官方旗舰店,【呼呼AI智能床垫】喜临门线下同款H100H300乳胶气囊电动智能床垫,https://detail.tmall.com/item.htm?id=1024188563619&sku_properties=21433%3A50753460,【软床床架套餐】山梧-杏仁白（软床）+智慧T1（床架）+呼呼H100（床垫）,16999.0,38999.0,平台加补后,,,True,False,
R004-S008,4,喜临门官方旗舰店,【呼呼AI智能床垫】喜临门线下同款H100H300乳胶气囊电动智能床垫,https://detail.tmall.com/item.htm?id=1024188563619&sku_properties=21433%3A50753460,【软床床架套餐】山梧-曜石黑（软床）+智慧T1（床架）+呼呼H100（床垫）,16999.0,38999.0,平台加补后,,,True,False,
R004-S009,4,喜临门官方旗舰店,【呼呼AI智能床垫】喜临门线下同款H100H300乳胶气囊电动智能床垫,https://detail.tmall.com/item.htm?id=1024188563619&sku_properties=21433%3A50753460,【软床床架套餐】山梧-狐舞棕（软床）+智慧T1（床架）+呼呼H100（床垫）,16999.0,38999.0,平台加补后,,,True,False,
R004-S010,4,喜临门官方旗舰店,【呼呼AI智能床垫】喜临门线下同款H100H300乳胶气囊电动智能床垫,https://detail.tmall.com/item.htm?id=1024188563619&sku_properties=21433%3A50753460,【软床床架套餐】莫奈-丝绒棕（软床）+智慧T1（床架）+呼呼H300（床垫）,17999.0,39999.0,平台加补后,,,True,False,
R004-S011,4,喜临门官方旗舰店,【呼呼AI智能床垫】喜临门线下同款H100H300乳胶气囊电动智能床垫,https://detail.tmall.com/item.htm?id=1024188563619&sku_properties=21433%3A50753460,【软床床架套餐】莫奈-晴光米（软床）+智慧T1（床架）+呼呼H300（床垫）,17999.0,39999.0,平台加补后,,,True,False,
R004-S012,4,喜临门官方旗舰店,【呼呼AI智能床垫】喜临门线下同款H100H300乳胶气囊电动智能床垫,https://detail.tmall.com/item.htm?id=1024188563619&sku_properties=21433%3A50753460,【软床床架套餐】莫奈-墨羽黑（软床）+智慧T1（床架）+呼呼H300（床垫）,17999.0,39999.0,平台加补后,,,True,False,
R004-S013,4,喜临门官方旗舰店,【呼呼AI智能床垫】喜临门线下同款H100H300乳胶气囊电动智能床垫,https://detail.tmall.com/item.htm?id=1024188563619&sku_properties=21433%3A50753460,【软床床架套餐】芝士分子-复古咖（软床）+智慧T1（床架）+呼呼H100（床垫）,15999.0,37999.0,平台加补后,,,True,False,
R004-S014,4,喜临门官方旗舰店,【呼呼AI智能床垫】喜临门线下同款H100H300乳胶气囊电动智能床垫,https://detail.tmall.com/item.htm?id=1024188563619&sku_properties=21433%3A50753460,【软床床架套餐】芝士分子-星辰黑（软床）+智慧T1（床架）+呼呼H100（床垫）,15999.0,37999.0,平台加补后,,,True,False,
R004-S015,4,喜临门官方旗舰店,【呼呼AI智能床垫】喜临门线下同款H100H300乳胶气囊电动智能床垫,https://detail.tmall.com/item.htm?id=1024188563619&sku_properties=21433%3A50753460,【软床床架套餐】芝士分子-复古咖（软床）+智慧T1（床架）+呼呼H300（床垫）,16999.0,38999.0,平台加补后,,,True,False,
R004-S016,4,喜临门官方旗舰店,【呼呼AI智能床垫】喜临门线下同款H100H300乳胶气囊电动智能床垫,https://detail.tmall.com/item.htm?id=1024188563619&sku_properties=21433%3A50753460,【软床床架套餐】芝士分子-星辰黑（软床）+智慧T1（床架）+呼呼H300（床垫）,16999.0,38999.0,平台加补后,,,True,False,
R005-S001,5,源氏木语官方旗舰店,源氏木语进口天然乳胶0胶水床垫家用空气纤维J121卧室弹簧垫元气,https://detail.tmall.com/item.htm?id=685133214740&sku_properties=21433%3A50753460,（1）软硬适中 ▪ 门店热销款 ▪ 厚24cm,3638.6,4734.0,店铺优惠后,24.0,厚24cm,False,False,
R005-S002,5,源氏木语官方旗舰店,源氏木语进口天然乳胶0胶水床垫家用空气纤维J121卧室弹簧垫元气,https://detail.tmall.com/item.htm?id=685133214740&sku_properties=21433%3A50753460,（2）偏硬护脊 ▪ 门店热销款 ▪ 厚24cm,3638.6,4734.0,店铺优惠后,24.0,厚24cm,False,False,
R005-S003,5,源氏木语官方旗舰店,源氏木语进口天然乳胶0胶水床垫家用空气纤维J121卧室弹簧垫元气,https://detail.tmall.com/item.htm?id=685133214740&sku_properties=21433%3A50753460,（3）偏软包裹 ▪ 门店热销款 ▪ 厚24cm,3638.6,4734.0,店铺优惠后,24.0,厚24cm,False,False,
R005-S004,5,源氏木语官方旗舰店,源氏木语进口天然乳胶0胶水床垫家用空气纤维J121卧室弹簧垫元气,https://detail.tmall.com/item.htm?id=685133214740&sku_properties=21433%3A50753460,（4）折叠款 ▪ 便携易收纳 ▪ 偏硬护脊/厚24cm,3898.3,5067.0,店铺优惠后,24.0,厚24cm,False,False,
R005-S005,5,源氏木语官方旗舰店,源氏木语进口天然乳胶0胶水床垫家用空气纤维J121卧室弹簧垫元气,https://detail.tmall.com/item.htm?id=685133214740&sku_properties=21433%3A50753460,（8）适中款+一对慢回弹记忆棉枕头(10CM厚RA00537)J121,4923.0,4923.0,,10.0,10cm厚,False,False,
R005-S006,5,源氏木语官方旗舰店,源氏木语进口天然乳胶0胶水床垫家用空气纤维J121卧室弹簧垫元气,https://detail.tmall.com/item.htm?id=685133214740&sku_properties=21433%3A50753460,（9）偏硬款+一对慢回弹记忆棉枕头(10CM厚RA00537)J121,3786.7,4923.0,店铺优惠后,10.0,10cm厚,False,False,
R005-S007,5,源氏木语官方旗舰店,源氏木语进口天然乳胶0胶水床垫家用空气纤维J121卧室弹簧垫元气,https://detail.tmall.com/item.htm?id=685133214740&sku_properties=21433%3A50753460,（10）偏软款+一对慢回弹记忆棉枕头(10CM厚RA00537)J121,3786.7,4923.0,店铺优惠后,10.0,10cm厚,False,False,
R006-S001,6,蓝盒子官方旗舰店,蓝盒子小蓝垫床褥子学生宿舍专用床垫上下铺单人90x190软垫榻榻米,https://detail.tmall.com/item.htm?id=719144139608&sku_properties=21433%3A50753460,默认款/标准1.8m,483.65,,页面展示价,,,False,False,
R007-S001,7,金橡树官方旗舰店,【云端】金橡树天然乳胶床垫家用0胶水软硬垫学生宿舍床垫子定制,https://detail.tmall.com/item.htm?id=40316470216&sku_properties=21433%3A50753460,云端2.0经典升级款 厚5cm【85D软硬适中】A类抑菌面料,1150.05,1603.0,秒杀价,5.0,厚5cm,False,False,
