product_id,scenario,price,manufacturing_packaging,freight,platform_rate,aftersales_reserve_rate,ad_rate,ad_cost,contribution,contribution_rate,max_manufacturing_packaging_at_15pct,max_cac_at_15pct,breakeven_cac,price_floor_at_15pct
P2,顺利,1999,738.0,170,0.06,0.05,0.15,299.84999999999997,571.2599999999998,0.2857728864432215,1009.4099999999996,571.2599999999998,871.1099999999999,1538.983050847458
P2,基准,1999,820,200,0.06,0.08,0.2,399.8,299.3399999999999,0.14974487243621806,819.4899999999998,399.28999999999996,699.1399999999999,2000.0000000000005
P2,压力,1999,942.9999999999999,250,0.06,0.12,0.28,559.72,-113.54000000000008,-0.056798399199599836,529.6099999999998,146.33000000000004,446.17999999999995,3058.97435897436
P1,顺利,2199,765.0,170,0.06,0.05,0.15,329.84999999999997,692.2599999999998,0.314806730331969,1127.4099999999996,692.2599999999998,1022.1099999999997,1584.7457627118647
P1,基准,2199,850,200,0.06,0.08,0.2,439.8,401.3399999999999,0.1825102319236016,921.4899999999998,511.28999999999996,841.1399999999999,2058.8235294117653
P1,压力,2199,977.4999999999999,250,0.06,0.12,0.28,615.72,-40.04000000000008,-0.01820827648931336,607.6099999999998,245.83000000000004,575.68,3147.4358974358984
P3,顺利,2399,972.0,180,0.06,0.05,0.15,359.84999999999997,623.2599999999998,0.25979991663192986,1235.4099999999996,623.2599999999998,983.1099999999997,1952.5423728813564
P3,基准,2399,1080,210,0.06,0.08,0.2,479.8,293.3399999999999,0.12227594831179654,1013.4899999999998,413.28999999999996,773.1399999999999,2529.411764705883
P3,压力,2399,1242.0,260,0.06,0.12,0.28,671.72,-206.5400000000002,-0.08609420591913305,675.6099999999998,105.32999999999993,465.17999999999984,3851.282051282052
P4,顺利,2599,1062.0,180,0.06,0.05,0.15,389.84999999999997,681.2599999999998,0.26212389380530965,1353.4099999999996,681.2599999999998,1071.1099999999997,2105.0847457627124
P4,基准,2599,1180,210,0.06,0.08,0.2,519.8000000000001,325.3399999999997,0.125178914967295,1115.4899999999998,455.28999999999996,845.1399999999999,2725.490196078432
P4,压力,2599,1357.0,260,0.06,0.12,0.28,727.72,-213.5400000000002,-0.08216237014236252,753.6099999999998,124.32999999999993,514.1799999999998,4146.153846153848
P5,顺利,2799,1260.0,200,0.06,0.05,0.15,419.84999999999997,611.2599999999998,0.2183851375491246,1451.4099999999996,611.2599999999998,1031.1099999999997,2474.5762711864413
P5,基准,2799,1400,230,0.06,0.08,0.2,559.8000000000001,217.3399999999997,0.07764916041443362,1197.4899999999998,357.28999999999996,777.1399999999999,3196.07843137255
P5,压力,2799,1609.9999999999998,280,0.06,0.12,0.28,783.72,-378.53999999999996,-0.1352411575562701,811.6099999999997,-14.670000000000073,405.18000000000006,4846.153846153847
