id,name,n,sku_n,shops,median_rank,top30,top50,top100,top50_rate,median_price,price_q25,price_q75,sku_price_median,hhi,largest_shop_share,largest_shop,height_coverage,discount_median,dimension_scores,lens_scores,raw_score,score
T1,大众主卧·双感承托,92,333,39,136.5,12,21,36,0.22826086956521738,2221.9,1700.74375,2549.15,2003.45,0.07537807183364839,0.21739130434782608,喜临门官方旗舰店,0.45645645645645644,0.32011284434118814,"{""需求验证"": 55.72608695652174, ""证据广度"": 100, ""竞争可进入性"": 86.78166351606805, ""供应可执行性"": 77.5, ""表达可验证性"": 78.75}","{""市场验证优先"": 75.9326843100189, ""竞争机会优先"": 79.26918714555767, ""供应落地优先"": 77.41285444234406, ""内容证据优先"": 76.04757561436672, ""均衡首发"": 77.91324196597354}",76.96950259924385,72.15351999223603
T3,租住宿舍·便携薄垫,61,622,45,188,3,5,13,0.08196721311475409,686.0,497.0,785.4,570.54,0.029830690674549853,0.08196721311475409,林氏家居官方旗舰店,0.4662379421221865,0.24501424501424507,"{""需求验证"": 30.79672131147541, ""证据广度"": 100, ""竞争可进入性"": 94.93147003493684, ""供应可执行性"": 86.25, ""表达可验证性"": 77.5}","{""市场验证优先"": 67.93340902983068, ""竞争机会优先"": 77.04676834184359, ""供应落地优先"": 75.31047433485622, ""内容证据优先"": 70.79123689868315, ""均衡首发"": 73.65938390217683}",71.69454313356624,66.33786581663631
T2,儿童青少年·环保承托,44,335,30,153.0,6,7,15,0.1590909090909091,1102.45,964.51875,1655.3625000000002,1105.0,0.05268595041322314,0.1590909090909091,喜临门官方旗舰店,0.5791044776119403,0.27737463126843664,"{""需求验证"": 45.50909090909091, ""证据广度"": 84.0, ""竞争可进入性"": 90.47520661157026, ""供应可执行性"": 72.5, ""表达可验证性"": 75}","{""市场验证优先"": 67.5249173553719, ""竞争机会优先"": 74.91735537190083, ""供应落地优先"": 71.32231404958678, ""内容证据优先"": 69.4490082644628, ""均衡首发"": 71.44652892561984}",70.0802479338843,63.805170454545454
T4,品质主卧·酒店静音,16,31,10,134.0,1,3,6,0.1875,3306.75,2931.65,4036.4875,3335.0,0.1328125,0.25,喜临门官方旗舰店,0.41935483870967744,0.34062647568078075,"{""需求验证"": 52.15, ""证据广度"": 32.0, ""竞争可进入性"": 82.03125, ""供应可执行性"": 68.75, ""表达可验证性"": 65}","{""市场验证优先"": 54.5396875, ""竞争机会优先"": 64.025, ""供应落地优先"": 61.36875, ""内容证据优先"": 59.3121875, ""均衡首发"": 59.3653125}",58.4265625,53.74513888888889
T5,智能睡眠·电动调节,10,61,7,173.5,2,2,2,0.2,8323.325,7161.4625,10641.575,9569.3,0.18000000000000002,0.3,喜临门官方旗舰店,0.06557377049180328,0.2641016910679832,"{""需求验证"": 45.5, ""证据广度"": 21.200000000000003, ""竞争可进入性"": 77.19999999999999, ""供应可执行性"": 33.75, ""表达可验证性"": 70}","{""市场验证优先"": 45.455, ""竞争机会优先"": 55.81, ""供应落地优先"": 47.12, ""内容证据优先"": 50.9725, ""均衡首发"": 49.2525}",48.655249999999995,49.55175
