排名,店铺,商品标题,最低价,最高价,商品中位价,商品均价,SKU数,商品链接
25,蓝盒子官方旗舰店,蓝盒子小蓝垫T2Pro记忆棉床垫薄垫家用软垫酒店专用宿舍榻榻米垫,1614.15,1614.15,1614.15,1614.15,1,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=658398567065
26,喜临门官方旗舰店,【店播专享】【白骑士plus】喜临门席梦思乳胶软垫黄麻弹簧床垫,2379.15,2974.15,2549.15,2600.15,5,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=973602877186
27,栖作官方旗舰店,栖作坚果床垫可拆洗独立袋装弹簧记忆棉护脊硬儿童卧室家用席梦思,3289.5,6572.2,4681.8,4847.83,3,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=655841117705
28,麻大师旗舰店,麻大师0胶水软床垫加硬神器黄麻护腰脊薄款偏硬板棕榈床垫子家用,852.64,1648.24,1316.74,1281.83,11,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=681141376007
29,Serta舒达官方旗舰店,Serta/舒达 妙享 乳胶弹簧床垫国家补贴软硬家用主卧双人厚床垫,5693.06,10282.7,8073.05,8030.57,10,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=675142171103
30,蓝盒子官方旗舰店,蓝盒子Z1Pro 酒店床垫双层弹簧记忆棉软硬适中五星级双人厚席梦思,5158.65,5158.65,5158.65,5158.65,2,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=684267229066
31,思骄旗舰店,床垫椰棕垫天然棕榈硬垫子家用1.5米定制1.8儿童床垫护腰脊席梦思,170.98,668.0,320.76,343.86,80,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=620582274780
32,喜临门官方旗舰店,【白骑士slim0胶】喜临门儿童房舒脊黄麻记忆棉乳胶榻榻米薄床垫,1401.65,1486.65,1444.15,1444.15,4,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=902603820136
33,源氏木语官方旗舰店,源氏木语棕垫天然椰棕0胶水床垫家用乳胶垫子榻榻米椰椰海绵硬垫,1349.0,1799.0,1539.0,1540.38,13,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=594047048962
34,林氏家居官方旗舰店,林氏家居乳胶床垫国家补贴0胶水甲醛0超家用弹簧护脊180x200木业,897.19,1923.0,1252.15,1294.97,14,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=825215102865
35,慕思官方旗舰店,【睡眠精灵】慕思官方旗舰店天然乳胶床垫席梦思弹簧厚床垫子慕斯,4521.15,6521.2,5220.7,5330.96,7,https://detail.tmall.com/item.htm?b_s_f=sycm&b_spm=a21ag.29085015&id=574955915424
